"long","lat","location","category","n"
-2.238637,53.482225,"On or near Shopping Area","Shoplifting",49
-2.243339,53.48245,"On or near Shopping Area","Shoplifting",31
-2.241702,53.483451,"On or near Shopping Area","Shoplifting",25
-2.221103,53.469109,"On or near Apsley Grove","Theft from the person",22
-2.238637,53.482225,"On or near Shopping Area","Theft from the person",18
-2.240549,53.481916,"On or near Sickle Street","Shoplifting",17
-2.262144,53.379527,"On or near Supermarket","Shoplifting",16
-2.245535,53.479002,"On or near Lloyd Street","Theft from the person",16
-2.246337,53.492717,"On or near Prison","Other crime",15
-2.236341,53.48125,"On or near Piccadilly","Theft from the person",15
-2.240176,53.482627,"On or near Shopping Area","Shoplifting",12
-2.236341,53.48125,"On or near Piccadilly","Violence and sexual offences",12
-2.195216,53.506897,"On or near Waterson Avenue","Violence and sexual offences",12
-2.172546,53.460443,"On or near Peacock Grove","Other theft",11
-2.251581,53.400736,"On or near Longley Lane","Violence and sexual offences",10
-2.238637,53.482225,"On or near Shopping Area","Other theft",10
-2.238637,53.482225,"On or near Shopping Area","Violence and sexual offences",10
-2.240748,53.485169,"On or near Nightclub","Other theft",9
-2.240726,53.484064,"On or near Bus/Coach Station","Shoplifting",9
-2.247977,53.474162,"On or near Albion Street","Violence and sexual offences",8
-2.238002,53.476636,"On or near Nightclub","Other theft",8
-2.23355,53.519034,"On or near Ingleton Avenue","Violence and sexual offences",8
-2.187197,53.483522,"On or near Buchan Street","Criminal damage and arson",8
-2.179599,53.50044,"On or near Supermarket","Shoplifting",8
-2.174582,53.461096,"On or near Taplin Drive","Shoplifting",8
-2.250318,53.475029,"On or near Trafford Street","Theft from the person",7
-2.248907,53.47851,"On or near Nightclub","Violence and sexual offences",7
-2.245216,53.483839,"On or near Shopping Area","Shoplifting",7
-2.243605,53.486754,"On or near Walker'S Croft","Other theft",7
-2.242148,53.471657,"On or near Chester Street","Theft from the person",7
-2.241702,53.483451,"On or near Shopping Area","Other theft",7
-2.241702,53.483451,"On or near Shopping Area","Violence and sexual offences",7
-2.237689,53.477185,"On or near Nightclub","Theft from the person",7
-2.237536,53.474111,"On or near Charles Street","Theft from the person",7
-2.236247,53.478023,"On or near Parking Area","Violence and sexual offences",7
-2.229347,53.478118,"On or near Boad Street","Theft from the person",7
-2.20838,53.461069,"On or near Police Station","Public order",7
-2.279064,53.367021,"On or near Airport/Airfield","Possession of weapons",6
-2.250133,53.479532,"On or near Hardman Street","Other theft",6
-2.249391,53.481448,"On or near Butter Lane","Other theft",6
-2.249391,53.481448,"On or near Butter Lane","Violence and sexual offences",6
-2.247977,53.474162,"On or near Albion Street","Other theft",6
-2.245535,53.479002,"On or near Lloyd Street","Other theft",6
-2.244594,53.477944,"On or near Theatre/Concert Hall","Other theft",6
-2.243768,53.441668,"On or near Petrol Station","Other theft",6
-2.240748,53.485169,"On or near Nightclub","Violence and sexual offences",6
-2.238002,53.476636,"On or near Nightclub","Theft from the person",6
-2.237782,53.480277,"On or near Parker Street","Theft from the person",6
-2.236197,53.482518,"On or near Nightclub","Theft from the person",6
-2.233218,53.497076,"On or near Shopping Area","Shoplifting",6
-2.230708,53.418027,"On or near Parking Area","Shoplifting",6
-2.226456,53.458762,"On or near Parking Area","Violence and sexual offences",6
-2.222962,53.470112,"On or near A6","Theft from the person",6
-2.203599,53.456655,"On or near Holmfirth Street","Violence and sexual offences",6
-2.18219,53.521263,"On or near Moston Lane","Violence and sexual offences",6
-2.2933,53.400542,"On or near Petrol Station","Other theft",5
-2.27961,53.367919,"On or near Atlanta Avenue","Other theft",5
-2.250318,53.475029,"On or near Trafford Street","Other theft",5
-2.247649,53.474639,"On or near Nightclub","Violence and sexual offences",5
-2.244594,53.477944,"On or near Theatre/Concert Hall","Violence and sexual offences",5
-2.244502,53.482879,"On or near Theatre/Concert Hall","Shoplifting",5
-2.243949,53.483698,"On or near Parking Area","Shoplifting",5
-2.242944,53.513469,"On or near Arlington Street","Shoplifting",5
-2.23916,53.492291,"On or near St Chad'S Street","Vehicle crime",5
-2.238002,53.476636,"On or near Nightclub","Violence and sexual offences",5
-2.237782,53.480277,"On or near Parker Street","Other theft",5
-2.237738,53.469769,"On or near Further/Higher Educational Building","Other theft",5
-2.236341,53.48125,"On or near Piccadilly","Drugs",5
-2.236341,53.48125,"On or near Piccadilly","Other theft",5
-2.236341,53.48125,"On or near Piccadilly","Shoplifting",5
-2.236247,53.478023,"On or near Parking Area","Theft from the person",5
-2.220581,53.440985,"On or near Wynnstay Grove","Violence and sexual offences",5
-2.220551,53.45267,"On or near Rusholme Grove","Theft from the person",5
-2.219696,53.429886,"On or near Stephens Road","Burglary",5
-2.218254,53.442248,"On or near Conference/Exhibition Centre","Other theft",5
-2.217692,53.438375,"On or near Raveley Avenue","Burglary",5
-2.213029,53.423938,"On or near Mossbray Avenue","Other theft",5
-2.212683,53.514246,"On or near Further/Higher Educational Building","Other theft",5
-2.199023,53.502037,"On or near The Gateway","Violence and sexual offences",5
-2.198112,53.452179,"On or near Hector Road","Burglary",5
-2.195343,53.452516,"On or near Cayton Street","Violence and sexual offences",5
-2.296622,53.4003,"On or near Supermarket","Shoplifting",4
-2.262137,53.47628,"On or near Parking Area","Vehicle crime",4
-2.250318,53.475029,"On or near Trafford Street","Violence and sexual offences",4
-2.250038,53.494058,"On or near Sagar Street","Violence and sexual offences",4
-2.249579,53.477502,"On or near Shopping Area","Other theft",4
-2.248907,53.47851,"On or near Nightclub","Theft from the person",4
-2.248763,53.479625,"On or near Deansgate","Other theft",4
-2.247888,53.461362,"On or near Shopping Area","Violence and sexual offences",4
-2.246568,53.480483,"On or near John Dalton Street","Other theft",4
-2.246568,53.480483,"On or near John Dalton Street","Theft from the person",4
-2.246568,53.480483,"On or near John Dalton Street","Violence and sexual offences",4
-2.246399,53.482641,"On or near Nightclub","Other theft",4
-2.246399,53.482641,"On or near Nightclub","Violence and sexual offences",4
-2.243082,53.474405,"On or near Nightclub","Theft from the person",4
-2.243053,53.490405,"On or near Cowburn Street","Vehicle crime",4
-2.241402,53.475586,"On or near Nightclub","Theft from the person",4
-2.240835,53.484639,"On or near Garden Street","Violence and sexual offences",4
-2.239534,53.537089,"On or near Petrol Station","Other theft",4
-2.239422,53.477226,"On or near Nightclub","Violence and sexual offences",4
-2.239168,53.50705,"On or near Petrol Station","Other theft",4
-2.238637,53.482225,"On or near Shopping Area","Public order",4
-2.238126,53.479835,"On or near Parking Area","Shoplifting",4
-2.237782,53.480277,"On or near Parker Street","Violence and sexual offences",4
-2.237738,53.469769,"On or near Further/Higher Educational Building","Bicycle theft",4
-2.237738,53.469769,"On or near Further/Higher Educational Building","Violence and sexual offences",4
-2.237737,53.483027,"On or near Church Street","Shoplifting",4
-2.237263,53.42792,"On or near Hague Road","Vehicle crime",4
-2.236952,53.47733,"On or near Richmond Street","Violence and sexual offences",4
-2.236884,53.484161,"On or near Thomas Street","Other theft",4
-2.235481,53.475697,"On or near Sackville Street","Criminal damage and arson",4
-2.231356,53.465126,"On or near Brighton Place","Theft from the person",4
-2.231356,53.465126,"On or near Brighton Place","Violence and sexual offences",4
-2.22971,53.517406,"On or near Central Drive","Violence and sexual offences",4
-2.227711,53.462436,"On or near Hospital","Violence and sexual offences",4
-2.226937,53.48108,"On or near Lomax Street","Burglary",4
-2.2204,53.47284,"On or near Union Street","Violence and sexual offences",4
-2.218628,53.441789,"On or near Wilmslow Road","Shoplifting",4
-2.218254,53.442248,"On or near Conference/Exhibition Centre","Violence and sexual offences",4
-2.217066,53.531056,"On or near Ashdown Avenue","Violence and sexual offences",4
-2.210818,53.512218,"On or near Supermarket","Shoplifting",4
-2.207585,53.458617,"On or near Pine Grove","Violence and sexual offences",4
-2.206523,53.454034,"On or near Beckfoot Drive","Violence and sexual offences",4
-2.203445,53.490488,"On or near Bradford Road","Violence and sexual offences",4
-2.199023,53.502037,"On or near The Gateway","Public order",4
-2.196122,53.513726,"On or near Supermarket","Violence and sexual offences",4
-2.195011,53.481864,"On or near Ashton New Road","Criminal damage and arson",4
-2.193643,53.46611,"On or near Birch Street","Violence and sexual offences",4
